system,overall_R3,core,stateful,multi_signal,chain,n
pulse_v3_bge_m3_finetuned_zero_shot,0.2381,0.3333,0.3667,0.3000,0.0000,35
pulse_v3_cohere_embed_v4,0.2095,0.2667,0.3000,0.3000,0.0000,35
cosine,0.1810,0.4000,0.2000,0.2333,0.0000,35
mem0,0.1714,0.3333,0.2000,0.2333,0.0000,35
langmem,0.1619,0.4000,0.1667,0.2000,0.0000,35
llamaindex,0.1619,0.4000,0.1667,0.2000,0.0000,35
openai_memory,0.1524,0.2667,0.2000,0.2000,0.0000,35
hybrid,0.1524,0.4000,0.1333,0.2000,0.0000,35
bm25,0.0667,0.2000,0.0667,0.0667,0.0000,35
graphiti,0.0476,0.2000,0.0333,0.0333,0.0000,35
